,lags,load
0,-14.0,7.881087185634185e-16
1,-13.0,0.002519202792375672
2,-12.0,1.503072718084211
3,-11.0,53.04627268258399
4,-10.0,54.57795355340268
5,-9.0,62.79382451671357
6,-8.0,121.02055128944004
7,-7.0,229.29273994789375
8,-6.0,384.66199913983553
9,-5.0,489.9855842674719
10,-4.0,545.2623448744773
11,-3.0,550.5379842607164
12,-2.0,550.5386403010198
13,-1.0,550.539102091784
14,0.0,500.49356347971866
15,1.0,428.25025562704906
16,2.0,406.0389377359234
17,3.0,433.8333893965106
18,4.0,411.61375275534044
19,5.0,339.3517701813147
20,6.0,217.0455778638733
21,7.0,97.072997416959
22,8.0,27.14803001735395
23,9.0,7.2706183461909
24,10.0,7.270667875270547
25,11.0,7.270804985600731
26,12.0,7.270972574554301
27,13.0,7.271149964000404
28,14.0,7.271325018410916
29,15.0,7.2714867575210995
30,16.0,7.271613529399109
31,17.0,7.271665304623533
32,18.0,7.271531443023986
33,19.0,7.270672539999057
34,20.0,0.008565391909360892
35,21.0,0.0008111032347349429
36,22.0,9.28436392739241e-05
37,23.0,-9.489491409981117e-05
38,24.0,-0.00015803196577995527
39,25.0,-0.0001845674751187864
40,26.0,-0.00020079632686433269
41,27.0,-0.00022659351020322895
